"","id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","removalDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime","station"
"1","1","20th & Bell St","31000","1425636083982","38.8561","-77.0512","true","false","0","","false","true","8","3","1425636083982","20th & Bell St (31000)"
"2","2","18th & Eads St.","31001","1425636081868","38.85725","-77.05332","true","false","0","","false","true","3","8","1425636081868","18th & Eads St. (31001)"
"3","3","20th & Crystal Dr","31002","1425636064078","38.8564","-77.0492","true","false","0","","false","true","9","6","1425636064078","20th & Crystal Dr (31002)"
"4","4","15th & Crystal Dr","31003","1425649265191","38.86017","-77.049593","true","false","0","","false","true","6","4","1425649265191","15th & Crystal Dr (31003)"
"5","5","Aurora Hills Community Ctr/18th & Hayes St","31004","1425659756621","38.857866","-77.05949","true","false","0","","false","true","8","3","1425659756621","Aurora Hills Community Ctr/18th & Hayes St (31004)"
"6","6","Pentagon City Metro / 12th & S Hayes St","31005","1425659510191","38.862303","-77.059936","true","false","0","","false","true","2","17","1425659510191","Pentagon City Metro / 12th & S Hayes St (31005)"
"7","7","S Joyce & Army Navy Dr","31006","1425636243114","38.8637","-77.0633","true","false","0","","false","true","4","7","1425636243114","S Joyce & Army Navy Dr (31006)"
"8","8","Crystal City Metro / 18th & Bell St","31007","1425663886677","38.8573","-77.0511","true","false","0","","false","true","4","12","1425663886677","Crystal City Metro / 18th & Bell St (31007)"
"9","9","12th & Army Navy Dr","31008","1425662453601","38.8629","-77.0528","true","false","0","","false","true","4","7","1425662453601","12th & Army Navy Dr (31008)"
"10","10","27th & Crystal Dr","31009","1425663002492","38.848441","-77.051516","true","false","0","","false","true","5","13","1425663002492","27th & Crystal Dr (31009)"
"11","11","S Glebe & Potomac Ave","31010","1425636191004","38.8426","-77.0502","true","false","0","","false","true","5","6","1425636191004","S Glebe & Potomac Ave (31010)"
"12","12","23rd & Crystal Dr","31011","1425636065834","38.8533","-77.0498","true","false","0","","false","true","16","1","1425636065834","23rd & Crystal Dr (31011)"
"13","13","26th & S Clark St","31012","1425636141590","38.850688","-77.05152","true","false","0","","false","true","6","5","1425636141590","26th & S Clark St (31012)"
"14","14","19th St & Pennsylvania Ave NW","31100","1425663110931","38.9003","-77.0429","true","false","0","","false","true","9","5","1425663110931","19th St & Pennsylvania Ave NW (31100)"
"15","15","14th & V St NW","31101","1425660086057","38.9176","-77.0321","true","false","0","","false","true","15","9","1425660086057","14th & V St NW (31101)"
"16","16","11th & Kenyon St NW","31102","1425661695879","38.929464","-77.027822","true","false","0","","false","true","7","20","1425661695879","11th & Kenyon St NW (31102)"
"17","17","16th & Harvard St NW","31103","1425662820867","38.926088","-77.036536","true","false","0","","false","true","19","14","1425662820867","16th & Harvard St NW (31103)"
"18","18","Adams Mill & Columbia Rd NW","31104","1425659440391","38.922925","-77.042581","true","false","0","","false","true","1","14","1425659440391","Adams Mill & Columbia Rd NW (31104)"
"19","19","14th & Harvard St NW","31105","1425664038553","38.9268","-77.0322","true","false","0","","false","true","9","9","1425664038553","14th & Harvard St NW (31105)"
"20","20","Calvert & Biltmore St NW","31106","1425658695449","38.923203","-77.047637","true","false","0","","false","true","9","12","1425658695449","Calvert & Biltmore St NW (31106)"
"21","21","Lamont & Mt Pleasant NW","31107","1425662636825","38.9319","-77.0388","true","false","0","","false","true","1","18","1425662636825","Lamont & Mt Pleasant NW (31107)"
"22","22","4th & M St SW","31108","1425661278296","38.8767","-77.0178","true","false","0","","false","true","1","22","1425661278296","4th & M St SW (31108)"
"23","23","15th & P St NW","31201","1425663817379","38.90985","-77.034438","true","false","0","","false","true","7","10","1425663817379","15th & P St NW (31201)"
"24","24","14th & R St NW","31202","1425662382067","38.912682","-77.031681","true","false","0","","false","true","2","13","1425662382067","14th & R St NW (31202)"
"25","25","14th & Rhode Island Ave NW","31203","1425662630803","38.9086","-77.0323","true","false","0","","false","true","2","21","1425662630803","14th & Rhode Island Ave NW (31203)"
"26","26","20th & E St NW","31204","1425662107386","38.8963","-77.045","true","false","0","","false","true","7","7","1425662107386","20th & E St NW (31204)"
"27","27","21st & I St NW","31205","1425656227233","38.9008","-77.047","true","false","0","","false","true","11","24","1425656227233","21st & I St NW (31205)"
"28","28","Georgia & New Hampshire Ave NW","31400","1425655495247","38.936043","-77.024649","true","false","0","","false","true","1","14","1425655495247","Georgia & New Hampshire Ave NW (31400)"
"29","29","14th St & Spring Rd NW","31401","1425641309467","38.9375","-77.0328","true","false","0","","false","true","8","3","1425641309467","14th St & Spring Rd NW (31401)"
"30","30","John McCormack Dr & Michigan Ave NE","31502","1425658726121","38.9346","-76.9955","true","false","0","","false","true","7","4","1425658726121","John McCormack Dr & Michigan Ave NE (31502)"
"31","31","5th & K St NW","31600","1425655316193","38.90304","-77.019027","true","false","0","","false","true","4","14","1425655316193","5th & K St NW (31600)"
"32","32","19th & East Capitol St SE","31601","1425662050334","38.8896","-76.9769","true","false","0","","false","true","8","6","1425662050334","19th & East Capitol St SE (31601)"
"33","33","Park Rd & Holmead Pl NW","31602","1425653606599","38.9308","-77.0315","true","false","0","","false","true","7","11","1425653606599","Park Rd & Holmead Pl NW (31602)"
"34","34","Good Hope & Naylor Rd SE","31700","1425662978607","38.8601","-76.9672","true","false","0","","false","true","5","6","1425662978607","Good Hope & Naylor Rd SE (31700)"
"35","35","Connecticut Ave & Newark St NW / Cleveland Park","31305","1425636143003","38.934267","-77.057979","true","false","0","","false","true","8","3","1425636143003","Connecticut Ave & Newark St NW / Cleveland Park (31305)"
"36","36","Randle Circle & Minnesota Ave SE","31702","1425636017413","38.878","-76.9607","true","false","0","","false","true","6","5","1425636017413","Randle Circle & Minnesota Ave SE (31702)"
"37","37","Minnesota Ave Metro/DOES","31703","1425636085827","38.897063","-76.947446","true","false","0","","false","true","4","7","1425636085827","Minnesota Ave Metro/DOES (31703)"
"38","38","Nannie Helen Burroughs & Minnesota Ave NE","31704","1425636070605","38.901385","-76.941877","true","false","0","","false","true","4","7","1425636070605","Nannie Helen Burroughs & Minnesota Ave NE (31704)"
"39","39","Anacostia Metro","31801","1425655893830","38.862669","-76.994637","true","false","0","","false","true","3","8","1425655893830","Anacostia Metro (31801)"
